"Player","Pos","Squad","id","Age","Season","RATING","Sh/90","np:G-xG","Dist","xG","npxG/Sh","Cmp%","PrgDist","A-xAG","PrgP","Crs","SCA90","PassLive","TO","GCA90","Tkl%","Blocks","Tkl+Int","Err","Def Pen","Att Pen","Succ%","44986","PrgR","Min%","Compl","onG","onGA","xG+/-90","CrdY","CrdR","Fls","Recov","Won%","def","mid","forw","Age^2"
"Chris Smalling","defender","Manchester Utd","b6964eb6","27","2017","81","0.46","2.3","8.5","1.7","0.13","87.5","5423","-0.2","37","0","0.25","7","0","0","57.1","10","103","1","175","23","100","12","8","74.2","28","46","24","0.12","4","0","24","139","69.2","1","0","0","729"
"Chris Wood","forward","Burnley","4e9a0555","25","2017","78","2.16","3","12.3","7","0.19","59","437","0.4","16","5","1.61","21","3","0.17","23.1","9","7","0","20","70","60","11","117","47.5","7","22","11","-0.33","1","0","18","46","44.4","0","0","1","625"
"Christian Benteke","forward","Crystal Palace","ab070c55","26","2017","78","2.33","-6.6","12.5","10.2","0.15","56.1","1074","2.1","42","3","2.73","43","5","0.52","11.8","14","14","0","50","129","61.5","22","133","65.5","21","27","36","0.13","6","0","48","50","56.9","0","0","1","676"
"Christian Eriksen","midfielder","Tottenham","980522ec","25","2017","88","2.71","3","23","7","0.07","76.5","9566","-1.6","333","222","5.06","129","6","0.42","28.8","57","82","0","19","93","54.7","103","237","94.1","29","71","33","0.85","0","0","14","227","38.6","0","1","0","625"
"Christian GГјnter","forward","Freiburg","8593f88c","24","2017","75","0.74","-0.1","24.8","1.9","0.05","69.7","9838","0.2","125","177","2.91","56","5","0.24","60.3","82","93","0","76","35","49.3","82","177","100","34","32","56","-0.19","2","0","24","108","27.8","0","0","1","576"
"Christian Pulisic","forward","Dortmund","1bf33a9a","18","2017","79","1.49","-1.2","15.3","5.2","0.14","74.8","1965","0.1","64","75","3.05","54","12","0.39","59.1","50","62","0","7","126","42.3","86","257","75.2","14","49","38","0.68","1","0","16","97","21.6","0","0","1","324"
"Christoph Kramer","midfielder","M'Gladbach","496aeede","26","2017","81","0.5","1.3","16.3","1.7","0.14","87.3","5961","-0.5","142","7","1.25","23","3","0","51.3","23","132","1","63","16","48.2","20","33","70.3","17","27","32","-0.24","5","0","45","143","45.2","0","1","0","676"
"Christophe HГ©relle","defender","Troyes","3681cfff","24","2017","76","0.4","-1.7","12.4","1.7","0.13","83.4","8576","-0.2","120","0","0.58","17","0","0.06","53.3","10","95","1","257","21","20","6","4","86.5","32","29","52","-0.38","7","1","27","174","66.7","1","0","0","576"
"Christopher Nkunku","forward","Paris S-G","7c56da38","19","2017","76","2.85","1.6","16.9","2.4","0.12","90.3","946","-0.7","31","10","2.85","15","0","0.14","21.4","3","10","1","9","27","68.4","16","47","18.5","2","20","7","1.6","0","0","12","31","50","0","0","1","361"
"Ciaran Clark","defender","Newcastle Utd","2b91cf8e","27","2017","76","0.57","0.3","8.7","1.7","0.16","71.5","4380","0.3","29","2","0.72","10","0","0.05","52.4","8","42","1","152","24","80","7","3","51.1","19","21","30","-0.39","3","0","17","95","50.7","1","0","0","729"
"Ciro Immobile","forward","Lazio","4431aed2","27","2017","87","3.42","7.6","16.9","20.7","0.14","77.7","1201","-0.6","47","17","2.95","63","8","0.74","0","34","4","0","9","190","51","53","259","78.5","21","72","35","0.65","3","1","21","67","39.5","0","0","1","729"
"ClГ©ment Lenglet","defender","Sevilla","4f28a6ff","22","2017","82","0.42","0.4","8.3","2.6","0.19","83.4","12150","0.3","76","1","0.45","13","0","0.06","55.3","15","102","1","216","29","85.7","7","3","87.7","31","47","50","0.21","9","0","52","164","63.1","1","0","0","484"
"Corentin Jean","forward","Toulouse","7d9b37bf","22","2017","74","1.33","-1","21.2","2","0.08","65.6","1682","-0.8","41","80","3.04","30","7","0.27","23.8","26","26","0","9","31","64.7","30","150","49.4","6","20","31","-0.24","3","0","15","78","31.9","0","0","1","484"
"Corentin Tolisso","midfielder","Bayern Munich","652d4c37","22","2017","83","2.4","1.5","19.7","4.5","0.11","89.6","6085","1.1","191","12","3.41","53","1","0.53","43.8","24","49","0","20","43","23.8","34","79","51.5","12","41","16","1.21","3","0","21","64","42.6","0","1","0","484"
"Cristiano Biraghi","defender","Fiorentina","9e1577aa","24","2017","75","1.06","-0.6","21.8","1.6","0.05","70.8","7919","-0.5","81","245","2.9","56","1","0.24","62.1","52","117","2","96","25","55.6","49","127","87.1","31","51","40","0.45","7","0","39","166","50.8","1","0","0","576"
"Damien Da Silva","defender","Caen","1ec7e1c5","29","2017","78","0.57","2.3","9.5","1.7","0.09","81.8","9124","0","85","0","0.41","10","0","0.03","60.6","9","88","2","201","27","100","5","2","82.9","30","23","45","-0.09","7","0","36","249","54.9","1","0","0","841"
"DamiГЎn SuГЎrez","defender","Getafe","ba5004e1","29","2017","77","0.31","0.4","30.7","0.6","0.06","69.2","11106","0.8","152","95","2.41","41","4","0.22","48.9","54","132","1","91","15","41","28","60","84.1","31","36","27","0.24","14","1","54","187","40.4","1","0","0","841"
"Daniel Caligiuri","forward","Schalke 04","d1273f09","29","2017","80","0.99","1.1","21.8","4.3","0.06","70","10049","4.5","143","168","3.02","54","10","0.43","52.1","62","167","0","66","59","55.4","74","148","95.3","31","51","35","0.19","4","0","38","235","52","0","0","1","841"
"Daniel Ginczek","forward","Stuttgart","e5f63987","26","2017","78","2.48","-1","14.5","7.8","0.17","59.9","767","-1.4","31","6","2.3","24","5","0.24","16.7","15","13","0","12","78","43.3","16","101","49.8","5","26","16","0.12","3","0","32","33","39.8","0","0","1","676"
"Daniel Wass","forward","Celta Vigo","d83bbc54","28","2017","82","1.6","0.3","24.9","3.7","0.07","75","6057","1.6","139","147","3.16","65","0","0.37","32","37","60","0","59","62","45.8","40","200","85.7","24","54","53","-0.07","3","0","26","164","47.9","0","0","1","784"
"Daniele Baselli","midfielder","Torino","ea06dd97","25","2017","79","1.25","0.2","19.1","3.8","0.11","81.1","4920","-1.5","138","27","2.39","56","1","0.25","35.7","35","120","1","62","41","62.9","40","77","73.7","18","43","32","0.16","13","2","53","199","53.2","0","1","0","625"
"Daniele Rugani","defender","Juventus","14b8fcdf","23","2017","82","0.42","1","11.7","1","0.11","90.7","8500","0.4","39","2","0.51","11","0","0.14","53.8","5","38","1","120","13","0","6","2","56.6","21","54","17","0.72","3","0","25","93","58","1","0","0","529"
"Danilo","defender","Manchester City","94b2001f","26","2017","79","1.27","1.9","23.4","1.1","0.06","88.1","4137","1.8","89","24","1.6","19","0","0.13","54.3","17","62","0","32","29","61.5","35","74","39.4","11","40","11","1.27","2","0","12","65","72.7","1","0","0","676"
"Danilo Cataldi","midfielder","Benevento","ba3d3bea","22","2017","75","1.42","-0.5","25.3","1.5","0.04","82.1","5343","1.7","135","62","3.12","60","2","0.28","17.9","19","70","1","41","26","74.2","25","66","66.7","20","15","57","-1.13","10","2","35","180","16.7","0","1","0","484"
"Danilo D'Ambrosio","defender","Inter","44eb9093","28","2017","76","0.54","-0.7","13.4","2.7","0.19","81.1","10194","1.6","179","59","2.21","56","0","0.27","50.8","50","127","1","98","45","46.9","48","140","87.1","27","57","28","0.51","6","0","58","195","60.4","1","0","0","784"
"Danny Ings","forward","Liverpool","07802f7f","25","2017","76","2.7","-0.1","11.8","1.1","0.14","59.5","124","-0.1","9","3","2.36","4","1","0.34","0","5","7","0","3","20","25","2","23","7.8","0","3","0","1.54","0","0","6","8","30.8","0","0","1","625"
"Danny Welbeck","forward","Arsenal","ce5143da","26","2017","77","2.41","-0.5","14.5","5.5","0.17","79.5","545","0.6","23","2","3.17","27","3","0.38","33.3","7","31","0","21","59","60.9","20","117","34.9","5","20","21","0.26","1","0","13","38","41.1","0","0","1","676"
"Danny da Costa","midfielder","Eint Frankfurt","5ddb8f9f","24","2017","78","0.67","0.2","11.4","0.8","0.09","71.7","3448","0.5","59","35","1.87","22","0","0.15","85.7","31","54","0","33","22","35.3","11","89","39.3","12","19","23","0.18","1","0","11","55","47.6","0","1","0","576"
"Dante","defender","Nice","fd2bc67d","33","2017","80","0.65","-1.4","11.8","2.4","0.11","91.8","16516","-0.8","93","1","0.83","20","0","0.12","58.3","7","90","2","261","32","80","6","3","85.4","32","41","50","-0.03","10","1","27","214","60.8","1","0","0","1089"
"Darko LazoviД‡","forward","Genoa","5128bde4","26","2017","74","0.65","-0.5","16.4","0.5","0.05","70.1","2547","-0.9","47","83","3.1","32","3","0.38","50","27","32","0","18","34","64.7","43","114","36.3","9","15","20","0.27","2","0","8","71","33.3","0","0","1","676"
"David Alaba","defender","Bayern Munich","05439de2","25","2017","85","1.39","0.7","26.9","1.3","0.05","84.2","5513","-0.3","110","94","3.07","44","1","0.23","70","37","33","0","45","30","35.3","45","178","50.7","14","51","10","1.6","1","0","9","85","46.9","1","0","0","625"
"David Silva","midfielder","Manchester City","e2716bd0","31","2017","89","2","1.8","15.9","7.2","0.13","86.6","6817","2.6","337","74","5.22","123","2","0.74","20","43","50","0","22","140","77.6","133","247","71.1","20","79","18","1.47","5","0","21","135","58.3","0","1","0","961"
"Davide Biraschi","defender","Genoa","64cd167d","23","2017","69","0.2","-0.6","18","0.6","0.16","76.1","5330","0.2","84","34","0.95","15","3","0.15","72","24","71","0","85","3","80","27","28","52.5","17","18","24","0.02","2","0","26","111","54.2","1","0","0","529"
"Davide Calabria","defender","Milan","2146785a","20","2017","77","0.46","0.2","20.5","0.8","0.09","78.1","6048","-0.3","100","81","2.42","37","2","0.4","51.2","35","97","1","58","14","68.4","31","122","45.7","15","26","18","0.47","1","2","26","102","54.8","1","0","0","400"
"Davide Zappacosta","forward","Chelsea","7fe90ccd","25","2017","79","2.05","-0.4","20.3","1.4","0.06","77.9","1763","-0.3","22","84","2.05","21","2","0.33","44","33","32","0","20","45","37.8","29","124","32.1","5","21","15","0.83","0","0","7","67","70","0","0","1","625"
"Davie Selke","forward","Hertha BSC","1238a3f9","22","2017","77","2.2","2.1","13.9","7.7","0.16","58.4","567","-2","25","13","2.43","25","7","0.48","44.4","19","15","1","25","92","42.4","28","137","61.6","12","28","32","0","4","0","60","34","49.5","0","0","1","484"
"Davinson SГЎnchez","defender","Tottenham","da7b447d","21","2017","84","0.32","-0.5","13.3","0.5","0.06","89.2","13608","-0.1","82","3","0.43","12","0","0","45","6","76","0","146","12","100","8","2","74.1","26","53","21","0.84","1","1","25","164","54.5","1","0","0","441"
"Dayot Upamecano","defender","RB Leipzig","d248cd8f","18","2017","76","0.4","1.9","19","1.1","0.11","83.6","9433","-0.7","109","0","0.87","20","0","0.04","68.9","17","112","1","133","15","68.4","13","5","74.1","23","45","36","0.16","3","1","32","157","65.6","1","0","0","324"
"Declan Rice","forward","West Ham","1c7012b8","18","2017","69","0.31","-0.2","21.1","0.2","0.04","77.7","3396","-0.1","36","5","0.63","9","0","0.06","60","9","63","1","91","4","66.7","14","6","41.8","12","24","29","-0.56","1","0","5","72","47","0","0","1","324"
"Dele Alli","midfielder","Tottenham","cea4ee8f","21","2017","84","2.1","-0.1","15.9","9.1","0.13","76.1","4014","1.8","181","18","4.05","104","5","0.58","23.5","39","65","1","33","147","41.9","78","359","86.5","18","63","28","0.87","7","0","43","181","36.4","0","1","0","441"
"Demarai Gray","midfielder","Leicester City","4468ec10","21","2017","76","1.91","0.5","20.7","2.5","0.07","70.9","1498","-2.4","37","86","3.08","37","4","0.48","17.4","29","28","1","13","57","60.3","49","126","49.6","6","25","35","-0.2","2","0","7","99","17.2","0","1","0","441"
"Denis Zakaria","midfielder","M'Gladbach","384d58d9","20","2017","77","0.78","0.5","25.9","1.5","0.07","88.8","4000","0.4","74","2","1.65","35","3","0.2","65.6","21","119","1","68","24","48.4","39","31","75","16","34","40","-0.06","11","0","57","135","41.5","0","1","0","400"
"Dennis Geiger","midfielder","Hoffenheim","37f606f0","19","2017","70","1.19","0.1","21.7","1.9","0.09","86","3014","-0.3","90","26","3.01","45","2","0.17","40","11","67","0","18","17","41.7","29","50","51.9","12","30","23","0.11","9","0","53","96","40","0","1","0","361"
"Dennis Praet","midfielder","Sampdoria","86695068","23","2017","76","1.12","-1","21.4","2","0.06","81.3","5706","-0.3","174","70","2.95","62","8","0.37","52.1","45","122","0","23","61","69","57","170","77.7","22","43","44","-0.15","4","0","26","200","31.3","0","1","0","529"
"Diego Demme","midfielder","RB Leipzig","dc3fa3b5","25","2017","79","0.43","-0.5","21.4","0.5","0.04","83.2","8670","0.8","250","18","3.27","72","2","0.47","54","39","129","0","44","12","53.8","41","41","74.6","20","46","39","0.19","4","0","45","145","22.6","0","1","0","625"
"Diego GodГ­n","defender","AtlГ©tico Madrid","fc4f85b1","31","2017","90","0.46","-1.9","9.6","1.9","0.14","85.8","9039","-0.6","55","0","0.53","14","0","0.04","55.3","6","109","1","212","42","85.7","5","5","74.7","27","49","15","0.43","6","0","46","135","65.9","1","0","0","961"
"Diego Llorente","defender","Real Sociedad","bba30585","23","2017","76","0.85","0.7","14.3","2.3","0.1","88.8","8582","0","89","3","0.43","11","0","0.04","62.1","10","73","0","140","23","88.9","14","5","68","23","33","38","0.05","9","1","35","147","55.3","1","0","0","529"
"Dimitri LiГ©nard","midfielder","Strasbourg","f7691f63","29","2017","76","1.76","1.4","25.9","3.4","0.05","71.3","6520","-2.2","142","266","3.8","52","4","0.31","35.7","36","129","1","43","24","65.4","75","118","76.1","22","42","49","-0.14","6","0","28","244","30","0","1","0","841"
"Dimitri Payet","midfielder","Marseille","58ae47b2","30","2017","84","2.11","-1.6","22.7","8","0.1","73.6","7263","-0.4","209","235","8.01","119","14","0.92","21.6","28","41","1","4","78","78.9","109","203","68.6","15","57","34","1.11","6","0","17","134","25","0","1","0","900"
"Divock Origi","forward","Wolfsburg","43a166b4","22","2017","77","2.84","-1.2","16.2","7.2","0.12","74.5","626","0.9","24","13","1.78","18","6","0.27","14.3","17","9","0","19","88","48.3","30","182","64.3","14","26","31","-0.69","2","0","32","46","41.7","0","0","1","484"
"Domenico Berardi","forward","Sassuolo","53a0e358","22","2017","78","3.18","-3.8","22.6","8.9","0.07","65.1","3272","-1.7","113","120","5.02","84","8","0.39","16.9","50","48","1","18","81","62.1","47","237","67.1","12","17","37","-0.02","8","1","42","116","32","0","0","1","484"
"Dominic Calvert-Lewin","forward","Everton","59e6e5bf","20","2017","74","2.06","-0.8","14.7","4.9","0.11","59.9","901","3.4","27","19","2.15","29","3","0.53","13.3","19","25","1","22","77","48.8","30","125","55","13","26","29","-0.24","4","0","43","65","44.2","0","0","1","400"
"Dominik Kohr","midfielder","Leverkusen","0fbecd11","23","2017","77","2.16","-2.9","18.7","3.9","0.1","82.5","3718","-0.3","116","3","3.41","48","3","0.27","61","25","79","0","36","39","57.9","40","52","54.4","8","25","27","0.44","9","1","45","86","37.9","0","1","0","529"
"Dominique Heintz","defender","KГ¶ln","699fb8db","23","2017","77","0.26","0.5","20","0.5","0.06","81.9","10677","-0.7","158","21","0.81","20","1","0.1","59.4","19","113","0","209","15","52.9","19","9","91.2","31","33","65","-0.69","3","0","25","145","52.1","1","0","0","529"
"Douglas Luiz","midfielder","Girona","6f7d826d","19","2017","73","2.91","-0.7","18.7","0.7","0.07","74.3","502","-0.7","18","8","2.62","5","0","0.29","27.3","3","14","0","2","8","100","3","17","9","1","4","10","-0.79","3","0","13","24","33.3","0","1","0","361"
"Dries Mertens","forward","Napoli","89b2c8a9","30","2017","87","3.69","0","18.4","17.9","0.11","73.3","2057","-0.2","105","30","4.17","97","16","0.51","13.9","29","33","1","11","183","47.7","50","383","87.8","21","63","23","1.06","4","0","38","67","11.1","0","0","1","900"
"DuvГЎn Zapata","forward","Sampdoria","d3de9af0","26","2017","79","2.43","1.3","13.5","9.7","0.17","66.7","799","-0.6","36","42","2.65","44","6","0.47","16.7","30","17","1","23","125","51.9","49","222","61.6","13","36","38","-0.19","1","0","27","61","45","0","0","1","676"
"Eden Hazard","forward","Chelsea","a39bb753","26","2017","91","2.56","3.8","17.4","7.7","0.09","81.1","5183","-2.4","218","51","7.61","143","31","0.71","14.3","32","9","0","1","162","82.5","121","302","70.8","11","43","27","0.63","2","0","13","102","29.6","0","0","1","676"
"Edimilson Fernandes","forward","West Ham","3bb625ac","21","2017","71","0.75","-0.3","22.6","0.3","0.04","77.1","867","0.7","20","7","1.28","8","2","0.21","42.9","9","33","0","7","10","76.9","6","28","24.7","3","11","20","-1.2","1","0","5","49","38.5","0","0","1","441"
"Edin DЕѕeko","forward","Roma","3bb7f478","31","2017","85","4.53","-1.4","14.5","17.4","0.11","68.6","1863","-0.9","95","19","3.64","89","17","0.24","20","35","19","0","36","213","65.1","35","289","88.2","29","55","23","0.68","6","0","37","80","63","0","0","1","961"
"Edinson Cavani","forward","Paris S-G","527f063d","30","2017","89","3.49","5.2","15.1","23.4","0.2","78","955","0","43","13","2.41","46","10","0.59","12.5","15","20","0","24","180","57.7","11","168","75.5","20","93","21","1.48","3","0","19","44","47.1","0","0","1","900"
"Edoardo Goldaniga","defender","Sassuolo","4b029b31","23","2017","74","0.39","0.6","14.6","0.4","0.08","71","2014","-0.2","18","1","0.39","3","1","0","55.6","6","33","0","49","8","100","1","2","33.7","10","10","14","0.16","5","4","13","41","51.4","1","0","0","529"
"Ellyes Skhiri","midfielder","Montpellier","c2211709","22","2017","76","1.15","1.7","24.7","2.3","0.06","85.5","6048","-0.4","178","8","2.54","72","4","0.09","42","26","166","4","55","17","82","39","49","89.2","32","33","28","0.07","8","0","37","225","50.7","0","1","0","484"
"Elseid Hysaj","defender","Napoli","2f3452eb","23","2017","81","0.32","-0.4","21.7","0.4","0.04","86.5","9074","-0.7","144","52","1.73","50","3","0.17","57.1","52","107","4","74","21","51.1","92","185","91.4","33","66","25","1.04","3","1","29","263","48.1","1","0","0","529"
"Emil Forsberg","midfielder","RB Leipzig","9a2e0ccc","25","2017","82","2.23","-1.5","22.1","3.3","0.07","72.6","1932","-0.4","53","87","5.33","50","4","0.39","42.9","22","32","0","6","38","58.8","40","98","44.8","6","23","27","0.3","0","1","16","63","30","0","1","0","625"
"Emil Krafth","defender","Bologna","77cf6852","22","2017","74","0.19","-0.3","16","0.3","0.15","79.5","2762","-0.1","45","11","0.95","9","0","0.1","52.6","11","39","1","40","9","71.4","12","34","27.7","8","10","20","-1.07","2","0","7","53","43.3","1","0","0","484"
