"Player","Pos","Squad","id","Age","Season","RATING","Gls","SoT%","Cmp","Cmp%","Ast","Tkl","Tkl%","Clr","Att.5","Succ%","Min","PPM","CrdY","CrdR","Fls","Won%","def","mid","forw","Age^2"
"Edoardo Goldaniga","defender","Sassuolo","4b029b31","23","2017","74","1","20","267","71","0","14","55.6","56","4","100","1153","1.31","5","4","13","51.4","1","0","0","529"
"Ellyes Skhiri","midfielder","Montpellier","c2211709","22","2017","76","4","25.6","1355","85.5","1","89","42","57","50","82","3049","1.4","8","0","37","50.7","0","1","0","484"
"Elseid Hysaj","defender","Napoli","2f3452eb","23","2017","81","0","18.2","2341","86.5","1","64","57.1","68","47","51.1","3125","2.34","3","1","29","48.1","1","0","0","529"
"Emil Forsberg","midfielder","RB Leipzig","9a2e0ccc","25","2017","82","2","23.5","464","72.6","2","24","42.9","4","68","58.8","1370","1.38","0","1","16","30","0","1","0","625"
"Emil Krafth","defender","Bologna","77cf6852","22","2017","74","0","50","414","79.5","0","23","52.6","39","7","71.4","946","0.75","2","0","7","43.3","1","0","0","484"
"Emre Can","midfielder","Liverpool","a65ce836","23","2017","80","3","29.6","1338","85.2","4","67","41.9","37","32","75","2091","2.08","8","0","27","47.9","0","1","0","529"
"Enes Гњnal","forward","Villarreal","f8eca1b6","20","2017","78","5","50","205","71.7","2","9","0","11","22","40.9","1127","1.26","1","0","32","46.6","0","0","1","400"
"Enis Bardhi","midfielder","Levante","cac2537b","22","2017","78","9","35.1","520","76.1","1","39","26.3","7","43","58.1","1580","1.35","8","0","39","21.1","0","1","0","484"
"Eric Bailly","defender","Manchester Utd","a1232f4e","23","2017","82","1","33.3","368","86","0","17","41.7","58","4","100","1001","2.46","2","0","10","68","1","0","0","529"
"Eric Dier","forward","Tottenham","ac861941","23","2017","80","0","21.9","1949","85.3","2","61","40.5","93","15","86.7","2824","2.06","4","0","23","57","0","0","1","529"
"Erick Cabaco","defender","Levante","e7ab4179","22","2017","75","0","100","232","71.6","0","25","70","71","4","50","1040","1.43","5","0","13","59.4","1","0","0","484"
"Erik Thommy","midfielder","Stuttgart","df8e7b62","22","2017","75","2","31","219","62.9","4","19","52.9","8","22","31.8","980","2.21","0","0","12","31.3","0","1","0","484"
"Ermin BiДЌakДЌiД‡","defender","Hoffenheim","7aac47fe","27","2017","75","0","100","252","85.1","0","17","66.7","26","3","33.3","548","1.56","4","0","10","48","1","0","0","729"
"Fabian SchГ¤r","defender","La CoruГ±a","c8aa95da","25","2017","75","2","33.3","758","79.2","2","59","52.5","141","20","70","2219","0.88","10","0","39","55.1","1","0","0","625"
"Fabinho","midfielder","Monaco","7f3b388c","23","2017","85","7","23.8","1715","85.6","3","114","42.9","62","51","72.5","3060","2.15","8","0","58","67.6","0","1","0","529"
"Fabio Quagliarella","forward","Sampdoria","ee4f2f3b","34","2017","82","19","37.1","436","65","5","11","8","23","33","54.5","2719","1.37","4","0","24","47.8","0","0","1","1156"
"Federico Bernardeschi","forward","Juventus","ee93c1a9","23","2017","82","4","40.7","304","80","3","8","14.3","18","31","74.2","847","2.45","4","0","17","66.7","0","0","1","529"
"Federico Ceccherini","defender","Crotone","d9624b51","25","2017","72","1","25","1023","80.8","0","35","52","276","21","81","3229","0.92","4","1","42","56.1","1","0","0","625"
"Federico Chiesa","forward","Fiorentina","b0f7e36c","19","2017","79","6","27.5","753","71.7","4","62","29.6","16","140","54.3","3012","1.5","7","0","53","25.8","0","0","1","361"
"Federico Fazio","defender","Roma","4e358a2d","30","2017","82","2","22.2","1680","84.2","1","56","80.6","161","23","69.6","2922","2","6","0","24","78.6","1","0","0","900"
"Federico FernГЎndez","defender","Swansea City","f25b010f","28","2017","76","1","25","1001","82.2","1","40","66.7","201","4","25","2676","0.93","5","0","29","54.5","1","0","0","784"
"Federico Valverde","midfielder","La CoruГ±a","0959c2a2","19","2017","73","0","22.2","447","75.4","0","25","53.3","17","13","53.8","1233","0.88","0","0","14","51.7","0","1","0","361"
"Ferland Mendy","defender","Lyon","3cefcaef","22","2017","79","0","27.8","1341","85.1","5","45","64.5","43","70","68.6","2122","1.81","4","0","30","59.7","1","0","0","484"
"Filip KostiД‡","forward","Hamburger SV","b1cd37e6","24","2017","77","5","42.2","459","57.7","1","48","48.8","12","123","27.6","2438","1","2","0","35","31.9","0","0","1","576"
"Flavien Tait","midfielder","Angers","a0f9b535","24","2017","74","4","44.8","692","70.6","3","50","23.1","17","101","68.3","2235","1.06","4","1","29","10.5","0","1","0","576"
"Florent Mollet","midfielder","Metz","7e82a78f","25","2017","76","7","48.8","577","80.4","1","25","12","8","37","56.8","1412","0.77","5","0","33","20.8","0","1","0","625"
"Florian Kainz","midfielder","Werder Bremen","94c18565","24","2017","76","3","32.4","543","69.3","3","33","47.4","13","58","46.6","1712","1.13","5","0","35","39.4","0","1","0","576"
"Florian Lejeune","defender","Newcastle Utd","6eaed4eb","26","2017","78","0","15.4","826","76.3","2","34","46.7","154","13","92.3","2103","1","3","0","17","61.7","1","0","0","676"
"Florian Niederlechner","forward","Freiburg","d6862409","26","2017","75","2","30.4","98","74.2","0","8","40","6","25","8","697","0.8","1","0","16","29.4","0","0","1","676"
"Francesco Acerbi","defender","Sassuolo","b96b595c","29","2017","83","0","13.3","1391","84.3","0","51","61.1","255","23","73.9","3420","1.13","4","0","31","72","1","0","0","841"
"Francis Coquelin","forward","Valencia","a6951bf8","26","2017","79","1","75","256","82.6","0","18","56.3","23","18","77.8","657","2.11","2","0","13","76.9","0","0","1","676"
"Gabriel Jesus","forward","Manchester City","b66315ae","20","2017","83","13","55.6","474","79.5","3","23","13.6","6","37","64.9","1668","2.69","6","0","28","32.3","0","0","1","400"
"Gabriel Silva","defender","Saint-Г‰tienne","4914ed4a","26","2017","72","1","27.3","891","79","2","28","61.3","83","28","64.3","2077","1.6","2","1","34","48.2","1","0","0","676"
"Gareth Bale","forward","Real Madrid","a58bb1e1","28","2017","88","16","40.8","603","77.4","2","19","21.4","18","52","59.6","1799","1.92","5","0","25","53.2","0","0","1","784"
"GaГ«l Kakuta","midfielder","Amiens","5b1bf5e3","26","2017","76","6","34","895","63","6","54","22.5","19","142","62.7","3083","1.25","3","0","17","30.4","0","1","0","676"
"GaГ«tan Laborde","forward","Bordeaux","7cdda3bf","23","2017","75","3","40","158","62.2","0","9","28.6","7","31","48.4","957","1.6","1","0","20","42.3","0","0","1","529"
"Geoffrey Kondogbia","midfielder","Valencia","cce181df","24","2017","82","4","25","1355","86.9","4","88","33.8","66","64","85.9","2614","1.77","12","1","57","53.9","0","1","0","576"
"Georginio Wijnaldum","midfielder","Liverpool","eb58eef0","26","2017","82","1","23.7","1145","89.2","2","34","47.8","20","55","76.4","2387","2.03","1","0","13","34.1","0","1","0","676"
"GermГЎn Pezzella","defender","Fiorentina","8c725b43","26","2017","81","1","20","1595","83.9","0","63","46.3","185","6","100","2979","1.5","12","0","56","66.4","1","0","0","676"
"Giacomo Bonaventura","midfielder","Milan","d995ed27","27","2017","82","8","46","1287","84.3","2","31","20","17","51","66.7","2541","1.58","3","0","18","45.9","0","1","0","729"
"Gian Marco Ferrari","defender","Sampdoria","8650af85","25","2017","75","2","55.6","1502","88.1","0","12","50","149","7","85.7","2645","1.43","4","0","20","61.3","1","0","0","625"
"Gianluca Caprari","forward","Sampdoria","54e53b7e","24","2017","73","5","33.8","515","73.8","3","19","0","3","75","48","1809","1.38","5","2","23","25","0","0","1","576"
"Gianluca Mancini","defender","Atalanta","5aa53281","21","2017","70","1","25","281","80.7","0","20","58.8","22","3","100","684","1.45","5","2","17","75.9","1","0","0","441"
"Giorgio Chiellini","defender","Juventus","e85fb9b8","32","2017","90","0","20","1531","86.5","1","28","46.7","142","11","90.9","2161","2.42","2","0","30","64.1","1","0","0","1024"
"Giovani Lo Celso","midfielder","Paris S-G","d7553721","21","2017","82","4","36.8","1434","89.5","3","77","35.1","12","67","70.1","1776","2.48","2","0","21","27.8","0","1","0","441"
"Giovanni Simeone","forward","Fiorentina","343c0d52","22","2017","78","14","34.6","383","68.3","4","32","20","32","61","52.5","2998","1.5","3","0","58","22.3","0","0","1","484"
"Giuseppe Pezzella","midfielder","Udinese","149c5f5d","19","2017","71","0","14.3","329","69.3","0","19","36.8","32","19","68.4","903","0.87","3","1","14","41.2","0","1","0","361"
"Gonzalo Escalante","midfielder","Eibar","3f79a1c8","24","2017","78","1","20","490","72.7","0","59","43.6","19","21","71.4","1565","1.43","3","0","25","54.1","0","1","0","576"
"Granit Xhaka","midfielder","Arsenal","e61b8aee","24","2017","81","1","25.8","2755","84.8","7","78","37.7","68","24","75","3260","1.66","10","0","57","47.9","0","1","0","576"
"Guillermo MaripГЎn","defender","AlavГ©s","d9764034","23","2017","77","0","25","352","76.5","0","28","53.1","108","11","90.9","1528","1.32","4","0","15","53.7","1","0","0","529"
"Hakan Г‡alhanoДџlu","forward","Milan","cd0fa27b","23","2017","80","6","32.6","1034","75.3","6","37","25.8","15","31","74.2","2172","1.9","6","2","37","18.2","0","0","1","529"
"Hamari TraorГ©","defender","Rennes","a4b1028a","25","2017","74","0","13.3","1348","76.9","1","79","62.1","117","35","68.6","2637","1.5","10","0","42","56.7","1","0","0","625"
"Hamza Choudhury","forward","Leicester City","7d2d3329","19","2017","69","0","0","139","82.2","1","9","20","4","1","0","378","0.88","1","0","5","0","0","0","1","361"
"Hans Hateboer","defender","Atalanta","3b333ac3","23","2017","75","0","33.3","1098","78.8","1","31","57.7","46","28","39.3","2398","1.52","3","0","26","48.7","1","0","0","529"
"Harry Kane","forward","Tottenham","21a66f6a","24","2017","90","30","39.8","477","68.5","2","17","26.7","19","96","49","3076","2.08","5","0","34","42.6","0","0","1","576"
"Harry Maguire","defender","Leicester City","d8931174","24","2017","82","2","26.7","1379","77.4","4","63","60.5","181","60","85","3420","1.24","7","0","34","66.1","1","0","0","576"
"Harry Winks","midfielder","Tottenham","2f7acede","21","2017","75","0","0","581","88.7","1","15","50","10","10","80","774","2.06","0","0","8","40","0","1","0","441"
"Harvey Barnes","midfielder","Leicester City","3ea50f67","19","2017","69","0","0","6","85.7","0","0","0","0","0","0","10","1.33","0","0","1","100","0","1","0","361"
"Henrikh Mkhitaryan","midfielder","Manchester Utd","dd0daf32","28","2017","84","1","33.3","453","76.9","5","15","20","3","31","45.2","922","1.93","2","0","11","50","0","1","0","784"
"Houssem Aouar","midfielder","Lyon","a5db0bec","19","2017","78","6","34","1331","84.7","5","66","30.3","34","113","71.7","2433","2","1","0","20","42.3","0","1","0","361"
"Iago Aspas","forward","Celta Vigo","7dcf86f6","29","2017","85","22","44","992","75.4","5","26","14.7","11","92","63","2936","1.38","9","0","23","27.3","0","0","1","841"
"Ibrahima KonatГ©","defender","RB Leipzig","5ed9b537","18","2017","73","0","0","527","81","0","32","78.3","66","3","33.3","1228","1.56","1","0","13","65.5","1","0","0","324"
"Ignatius Ganago","forward","Nice","23c63b7f","18","2017","67","1","66.7","13","68.4","0","0","0","1","3","33.3","69","1.5","1","0","4","50","0","0","1","324"
"Ihlas Bebou","midfielder","Hannover 96","a53b661f","23","2017","76","5","38","446","69.8","2","37","51.9","27","124","49.2","2140","1.1","3","0","20","50","0","1","0","529"
"Isaac Hayden","midfielder","Newcastle Utd","c951a6df","22","2017","72","1","64.3","405","73.6","0","40","35.3","43","13","46.2","1374","1.27","7","0","30","52.2","0","1","0","484"
"Isco","midfielder","Real Madrid","a0b4bb3e","25","2017","89","7","38.8","1387","84.8","7","22","14.3","2","83","69.9","1774","2","1","0","19","17.6","0","1","0","625"
"IsmaГ«l TraorГ©","defender","Angers","b666421b","30","2017","75","3","42.9","932","83.4","1","54","48.3","132","19","73.7","2855","1.09","2","0","25","53.2","1","0","0","900"
"Issa Diop","defender","Toulouse","a712ca2b","20","2017","76","3","31.6","989","79.3","0","58","43.8","128","15","73.3","3060","0.88","8","0","31","61.3","1","0","0","400"
"Ivan PeriЕЎiД‡","forward","Inter","6fe90922","28","2017","86","11","32.8","1102","67.6","7","47","14.3","62","53","58.5","3313","1.95","4","0","27","51.6","0","0","1","784"
"Ivan RadovanoviД‡","midfielder","Chievo","023937a9","28","2017","77","1","27.3","1472","79.6","1","55","37.5","107","11","72.7","3140","0.97","6","1","33","63.8","0","1","0","784"
"Ivan RakitiД‡","midfielder","Barcelona","89f951b5","29","2017","87","1","39.3","2282","88.6","5","52","33.3","16","34","76.5","2835","2.51","4","0","33","50","0","1","0","841"
"Jack Cork","midfielder","Burnley","74e12f1e","28","2017","79","2","33.3","1281","79.7","1","60","32.3","86","42","73.8","3420","1.42","7","0","23","39.5","0","1","0","784"
"Jack Stephens","defender","Southampton","6adbc307","23","2017","74","2","36.4","737","75","0","29","52","108","25","68","1980","0.86","6","1","13","57","1","0","0","529"
"Jadon Sancho","forward","Dortmund","dbf053da","17","2017","78","1","40","306","81.8","4","5","28.6","2","45","37.8","690","1.17","0","0","1","45.5","0","0","1","289"
"Jakub Jankto","midfielder","Udinese","1ea5f91c","21","2017","76","4","24.1","827","71.2","4","29","21.7","27","37","59.5","2654","1","5","0","37","34.1","0","1","0","441"
"Jamaal Lascelles","defender","Newcastle Utd","450ab6fc","23","2017","78","3","66.7","918","76.8","0","31","63.2","232","6","83.3","2928","1.3","5","0","16","69.6","1","0","0","529"
"James McArthur","midfielder","Crystal Palace","cee31595","29","2017","76","5","33.3","854","78.1","1","58","37.7","44","38","71.1","2431","1.27","5","0","45","43.2","0","1","0","841"
"James Milner","midfielder","Liverpool","2f90f6b8","31","2017","81","0","23.8","1335","81.6","3","58","38.5","23","16","75","1775","2.06","3","0","29","56.1","0","1","0","961"
"James Tarkowski","defender","Burnley","15ea812b","24","2017","80","0","22.2","800","72.6","0","46","44.7","223","13","84.6","2790","1.58","5","0","25","71.3","1","0","0","576"
"James Tomkins","defender","Crystal Palace","e7ca0439","28","2017","78","3","34.8","727","81.5","0","47","51.6","216","6","100","2387","1.39","8","0","20","63.5","1","0","0","784"
"James Ward-Prowse","forward","Southampton","3515d404","22","2017","77","3","46.4","631","68.7","3","23","11.1","31","6","83.3","1716","0.93","3","0","18","30.9","0","0","1","484"
"Jamie Vardy","forward","Leicester City","45963054","30","2017","82","20","43.1","290","57.2","1","15","12.5","17","57","42.1","3247","1.19","3","0","29","37.9","0","0","1","900"
"Jan Bednarek","defender","Southampton","4115ce4e","21","2017","71","1","100","139","72","0","6","50","27","1","0","426","1.6","1","0","3","29.2","1","0","0","441"
"Janik Haberer","midfielder","Freiburg","70dcf94d","23","2017","74","3","36.6","731","70","4","62","40.4","42","41","63.4","2748","1.09","9","0","73","40.7","0","1","0","529"
"Jannik Vestergaard","defender","M'Gladbach","1900032e","24","2017","80","3","25","1634","85","0","58","66.7","161","7","85.7","2880","1.34","5","0","27","63.8","1","0","0","576"
"Jason","forward","Levante","9038c2a1","23","2017","74","1","30.3","370","64.2","2","32","28.9","8","71","35.2","1786","1.22","2","0","31","35.6","0","0","1","529"
"Jean-Eudes Aholou","midfielder","Strasbourg","48b28bfd","23","2017","76","5","17.9","1162","85.5","0","70","30.9","58","50","78","3006","1.09","4","0","46","50.5","0","1","0","529"
"Jean-KГ©vin Augustin","forward","RB Leipzig","97bfa797","20","2017","76","9","45.7","229","76.6","5","16","42.9","4","68","32.4","1266","1.64","1","0","21","25","0","0","1","400"
"Jean-Philippe Gbamin","forward","Mainz 05","6bd603db","21","2017","79","1","44.4","921","78.1","3","78","66.2","80","64","48.4","2591","1.07","4","0","44","63.1","0","0","1","441"
"Jean-Victor Makengo","forward","Nice","22bfb57e","19","2017","69","0","100","96","87.3","0","4","50","1","20","50","246","0.8","1","0","5","33.3","0","0","1","361"
"Jeff Hendrick","forward","Burnley","989d5705","25","2017","75","2","24","656","79.3","2","16","17.6","21","32","75","2331","1.44","1","0","19","20.5","0","0","1","625"
"Jeffrey Gouweleeuw","defender","Augsburg","1025db8e","26","2017","79","0","14.3","915","77.3","0","57","65.9","128","17","52.9","2385","1.26","4","0","31","50.9","1","0","0","676"
"Jeffrey Schlupp","forward","Crystal Palace","3312f911","24","2017","73","0","13.3","601","72.7","1","57","53.5","67","23","56.5","1745","1.25","3","0","18","43.7","0","0","1","576"
"Jeison Murillo","defender","Valencia","b233e8e4","25","2017","81","0","0","671","89.2","0","31","66.7","85","3","100","1374","2.35","4","0","16","67.2","1","0","0","625"
"Jens Stryger Larsen","defender","Udinese","f91e81c9","26","2017","73","1","26.3","1099","81","1","36","53.8","82","13","61.5","2531","1.23","5","0","15","36.5","1","0","0","676"
"Jesse Lingard","midfielder","Manchester Utd","810e3c74","24","2017","82","8","41.1","841","84.4","5","30","18.5","13","52","53.8","1817","2","2","0","34","16.7","0","1","0","576"
